origin,destination,demand
82,11,2107
9,43,2106
117,112,2106
18,84,2105
99,69,2104
32,139,2101
4,97,2100
46,42,2099
17,12,2099
39,9,2097
9,149,2096
4,104,2092
5,20,2091
17,34,2090
9,133,2089
14,23,2084
17,68,2084
4,49,2083
49,46,2083
59,58,2079
125,133,2078
2,69,2076
17,4,2076
61,65,2072
5,76,2071
16,3,2067
99,84,2065
101,97,2065
69,21,2064
113,129,2059
7,35,2056
4,21,2050
116,113,2049
5,133,2049
37,2,2045
38,36,2045
5,139,2042
87,69,2042
66,67,2041
31,131,2039
36,35,2037
73,46,2036
15,2,2032
62,53,2026
33,82,2026
25,69,2025
112,114,2024
5,66,2024
63,62,2022
34,86,2016
127,120,2015
125,29,2015
83,69,2014
100,99,2014
44,48,2011
135,131,2010
69,43,2009
25,3,2008
9,30,2007
86,72,2005
30,149,2005
23,25,2005
72,45,2003
79,32,2003
114,3,2002
136,3,2001
101,72,2000
17,84,1999
14,2,1999
27,30,1998
68,76,1996
13,43,1992
62,64,1992
4,53,1992
57,61,1992
99,36,1992
87,4,1991
71,12,1989
99,4,1985
140,94,1984
4,50,1979
30,132,1978
25,17,1977
133,113,1976
88,104,1974
64,69,1970
132,130,1970
11,18,1967
57,64,1964
132,15,1962
4,19,1962
125,113,1960
5,84,1960
64,46,1960
69,42,1960
18,26,1959
5,63,1955
4,127,1955
30,23,1952
30,19,1952
7,36,1950
19,32,1948
69,17,1945
37,47,1943
86,69,1942
57,63,1942
46,48,1940
135,139,1937
32,69,1936
13,2,1934
10,4,1933
2,18,1930
30,27,1928
47,44,1927
71,76,1925
94,93,1923
70,11,1922
17,18,1920
92,11,1920
48,58,1919
149,9,1918
14,9,1917
72,75,1915
20,4,1914
69,44,1908
101,84,1907
48,49,1905
121,131,1902
18,34,1901
34,82,1900
83,33,1896
84,72,1896
24,15,1894
76,71,1894
70,85,1893
5,91,1893
4,140,1890
138,140,1888
5,7,1888
92,19,1887
42,41,1887
119,113,1886
33,72,1885
18,23,1885
2,30,1882
148,149,1881
83,86,1876
121,128,1873
1,36,1872
4,136,1871
38,9,1869
5,113,1867
75,64,1862
53,5,1862
41,40,1862
71,2,1862
62,4,1856
19,2,1854
140,146,1853
4,120,1852
134,149,1851
104,98,1851
117,114,1850
140,4,1845
97,69,1845
57,59,1843
29,3,1842
104,12,1842
117,2,1842
72,35,1838
121,120,1836
49,58,1834
6,8,1834
72,88,1834
58,63,1833
99,72,1831
68,9,1830
26,33,1830
40,2,1830
68,33,1828
9,48,1827
136,124,1826
86,84,1825
113,130,1825
128,120,1822
15,8,1822
77,85,1822
32,149,1821
18,4,1816
35,47,1816
12,47,1816
9,8,1814
4,51,1814
7,18,1812
136,27,1811
119,120,1808
133,27,1807
11,42,1807
17,42,1805
128,29,1805
35,8,1803
18,133,1802
63,61,1799
42,39,1797
10,9,1795
113,2,1793
84,9,1793
6,43,1790
2,42,1788
6,4,1785
58,5,1784
79,80,1784
149,71,1783
68,26,1782
133,15,1782
127,5,1781
18,149,1781
93,69,1781
113,15,1781
87,71,1780
138,131,1780
48,50,1780
130,15,1776
24,133,1776
47,5,1773
2,149,1771
57,69,1769
68,67,1768
149,39,1768
65,71,1766
127,15,1763
1,39,1763
149,30,1763
15,13,1761
72,63,1757
45,11,1754
69,30,1754
4,130,1753
4,57,1753
149,132,1753
2,68,1752
89,5,1752
4,146,1749
5,145,1747
72,105,1742
45,12,1741
29,140,1740
130,149,1739
34,84,1739
26,9,1737
128,121,1737
71,33,1737
30,116,1737
44,40,1735
31,33,1734
17,72,1732
43,82,1729
27,15,1727
71,34,1725
50,46,1725
65,62,1722
65,12,1722
20,11,1722
72,64,1719
71,44,1719
5,58,1719
5,3,1716
117,129,1716
12,18,1714
112,129,1714
45,71,1714
149,138,1713
50,48,1711
4,139,1710
9,25,1709
